timestamp,suhu_c,kelembapan_pct,amonia_ppm,orang_terdeteksi,status
2026-05-24 06:00:00,26.9,76.0,24.7,1,Perlu Ventilasi
2026-05-24 06:05:00,27.4,74.0,9.0,1,Perlu Ventilasi
2026-05-24 06:10:00,29.7,71.4,11.3,1,Digunakan
2026-05-24 06:15:00,29.7,65.0,31.0,1,Perlu Ventilasi
2026-05-24 06:20:00,31.3,65.7,31.3,0,Perlu Ventilasi
2026-05-24 06:25:00,31.4,59.8,25.9,1,Perlu Ventilasi
2026-05-24 06:30:00,27.2,70.4,33.4,1,Perlu Ventilasi
2026-05-24 06:35:00,27.4,60.4,22.9,1,Digunakan
2026-05-24 06:40:00,28.5,68.4,15.5,0,Aman
2026-05-24 06:45:00,29.3,60.0,26.3,0,Perlu Ventilasi
2026-05-24 06:50:00,32.0,72.1,10.3,0,Aman
2026-05-24 06:55:00,27.3,77.7,21.6,1,Perlu Ventilasi
2026-05-24 07:00:00,28.0,68.1,15.9,1,Digunakan
2026-05-24 07:05:00,30.5,72.7,15.6,0,Aman
2026-05-24 07:10:00,28.9,64.3,13.3,0,Aman
2026-05-24 07:15:00,30.5,73.7,32.4,0,Perlu Ventilasi
2026-05-24 07:20:00,31.6,70.1,23.3,1,Digunakan
2026-05-24 07:25:00,30.9,69.1,31.4,1,Perlu Ventilasi
2026-05-24 07:30:00,26.7,77.4,32.3,1,Perlu Ventilasi
2026-05-24 07:35:00,27.9,68.5,19.0,1,Digunakan
2026-05-24 07:40:00,26.7,66.6,17.8,0,Aman
2026-05-24 07:45:00,31.4,63.9,15.4,1,Digunakan
2026-05-24 07:50:00,29.1,71.4,21.7,0,Aman
2026-05-24 07:55:00,29.7,72.5,25.2,0,Perlu Ventilasi
2026-05-24 08:00:00,30.0,70.5,31.1,1,Perlu Ventilasi
2026-05-24 08:05:00,26.9,74.6,28.1,0,Perlu Ventilasi
2026-05-24 08:10:00,27.9,70.5,20.5,0,Aman
2026-05-24 08:15:00,32.1,66.1,16.1,0,Aman
2026-05-24 08:20:00,32.0,72.2,14.0,0,Aman
2026-05-24 08:25:00,27.6,60.5,30.0,1,Perlu Ventilasi
2026-05-24 08:30:00,31.5,68.1,11.6,0,Aman
2026-05-24 08:35:00,31.8,60.5,9.5,1,Digunakan
2026-05-24 08:40:00,27.4,73.6,9.1,0,Aman
2026-05-24 08:45:00,29.1,64.1,10.6,1,Digunakan
2026-05-24 08:50:00,31.2,59.8,22.0,0,Aman
2026-05-24 08:55:00,30.0,62.3,24.2,0,Aman
